treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,status,date
32230,40393,23470,23470,HIRRUG,904,173.11,61.07,447590,5,18.4,1.3,1.3,15174,alive,MAIN;A;ST,1,A,NA
32377,40563,23637,23637,SLOBER,1104,214.92,75.16,447679,5,45.9,1.25,1.27,15180,alive,MAIN;A,1,A,NA
32393,40580,23654,23654,SLOBER,1104,216.45,76.34,447685,5,40.2,1.3,1.32,15180,alive,MAIN;A,3,A,NA
32439,40635,23710,23710,EUGSTA,1204,229.72,68.81,447706,5,33.4,1.3,1.3,15181,alive,MAIN;A,1,A,NA
32644,40903,23959,23959,SLOBER,1304,251.06,68.15,447787,5,101,1.25,1.24,15181,alive,MAIN;A,3,A,NA
32677,40946,240,240,CORSUL,801,149.58,13.99,434229,5,138,1.5,1.5,15152,alive,MAIN;A,1,A,NA
32787,41092,24123,24123,CASARB,1404,269.14,74.03,447856,5,46,1.3,1.3,15182,alive,MAIN;A,1,A,NA
32823,41138,24168,24168,EUGSTA,1404,269.65,61.47,447867,5,19,1.35,1.33,15182,alive,MAIN;A,1,A,NA
32989,41329,24353,24353,BUCTET,1504,295.36,71.45,447961,5,75,1.3,1.3,15183,alive,MAIN;A,1,A,NA
33221,41595,24627,24627,HIRRUG,1505,292.3,96.43,448132,5,49,1.25,1.26,15202,alive,MAIN;A,2,A,NA
33318,41696,24732,24732,BUCTET,1404,276.28,79.88,448205,5,114,1.3,1.3,15182,alive,MAIN;A,1,A,NA
33320,41698,24734,24734,DRYGLA,1405,270.74,80.38,448206,5,88,1.3,1.3,15201,alive,MAIN;A,1,A,NA
33421,41806,2484,2484,CORBOR,801,148.67,5.61,435704,5,39.5,1.3,1.3,15152,alive,MAIN;A,1,A,NA
33494,41881,24909,24909,CECSCH,205,26.42,98.87,448250,5,301,1.35,1.37,15187,alive,MAIN;A,1,A,NA
33658,42059,25092,25092,ARDGLA,1606,305.44,106.75,448298,5,12.3,1.3,1.3,15202,alive,MAIN;A,1,A,NA
33664,42065,25098,25098,CASARB,1606,309.48,116.34,448303,5,60,1.3,1.3,15202,alive,MAIN;A,1,A,NA
33802,42220,25241,25241,EUGSTA,1406,272.62,101.68,448386,5,117,1.3,1.3,15201,alive,MAIN;A;V,1,A,NA
33851,42287,25304,25304,CASARB,1406,264.68,106.76,448397,5,68,1.3,1.3,15201,alive,MAIN;A,1,A,NA
34054,42537,25547,25547,CASSYL,1306,246.94,119.23,448456,5,29.5,1.3,1.3,15197,alive,MAIN;A,1,A,NA
34252,42766,25777,25777,EUGSTA,1206,222.02,114.85,448537,5,24.2,1.3,1.3,15197,alive,MAIN;A,1,A,NA
34407,42945,2605,2605,DACEXC,304,50.52,67.53,435787,5,124,1.35,1.35,15168,alive,MAIN;A,1,A,NA
34433,42976,263,263,SLOBER,801,156.04,3.48,434251,5,179,1.3,1.3,15152,alive,MAIN;A,1,A,NA
34436,42979,2632,2632,CROPOE,404,70.94,66.49,435811,5,208,1.25,1.25,15169,alive,MAIN;A,1,A,NA
34444,42987,2640,2640,PREMON,404,79.67,75.98,435817,5,137,1.3,1.32,15169,alive,MAIN;A,1,A,NA
34553,120626,26621,44570,SLOBER,1205,238.55,84.19,448770,5,23.1,1.3,1.3,15198,alive,SPROUT;A,2,A,NA
34643,43247,2673,2673,TETBAL,604,103.88,60.63,435842,5,182,1.4,1.4,15170,alive,MAIN;A,1,A,NA
34736,43364,2684,2684,SLOBER,604,105.7,62.18,435853,5,123,1.35,1.36,15170,alive,MAIN;A;ST,1,A,NA
34867,43509,26979,26979,DACEXC,1005,185.26,87.99,448914,5,58,1.2,1.2,15196,alive,MAIN;A,1,A,NA
